,gwicid,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023,prior to 2000,latitude,longitude
39,191533,23.450000000000003,21.657,22.58083333333333,22.144,21.88142857142857,20.61,,46.6016554,-111.9806696
40,191534,74.18,73.20527858002407,72.455,70.99333333333334,72.21000000000001,70.14166666666667,,46.70537491,-112.0414602
41,191535,35.209999999999994,33.323,32.5825,32.99666666666667,44.105,31.835,,46.6016175,-111.9806607
42,191536,43.73,41.717777777777776,41.44833333333333,43.465,44.65833333333333,43.63,,46.62688322,-111.9141275
43,191538,29.37,28.643,27.69090909090909,28.53,29.1275,26.71,,46.61570068,-111.9818949
44,191539,10.805,11.115,10.865384615384617,10.705833333333333,10.63875,10.915,,46.62392816,-112.048919
45,191540,35.645,33.96818181818182,33.89666666666667,33.76,34.205,31.14,,46.59038052,-111.9946112
46,191548,112.7,112.424,113.7690909090909,115.21,116.95666666666666,114.34,,46.59159331,-111.8778901
47,191549,3.925,4.357,4.239166666666667,4.105833333333334,3.9414285714285713,4.08,,46.66168667,-111.9469974
48,191550,15.07,14.14125,15.0325,15.82,16.976666666666667,16.215,,46.63502075,-111.9540437
49,191554,2.77,2.77,2.6075,2.643333333333333,2.6142857142857143,2.555,,46.66173517,-111.9469967
50,191555,16.165,15.478,14.40777253557568,13.905,15.608,14.106666666666667,,46.67523673,-112.0426012
51,191557,5.199999999999999,4.104444444444444,4.3500000000000005,3.315454545454545,4.262,5.151999999999999,,46.63068274,-112.0843896
52,193012,29.22,28.6225,28.613636363636363,28.40833333333333,28.604000000000003,27.03,,46.61566231,-111.9818919
53,195637,6.2,5.905555555555555,6.868333333333333,10.839166666666666,5.392,,,46.71025566,-111.9784574
54,199993,,65.9088888888889,66.76833333333333,63.14636363636364,65.43454545454546,63.80666666666667,,46.713762,-112.0265034
55,205626,,109.78390303030302,,,137.15,123.4,,46.7326,-111.9745
56,206394,,114.12916666666666,117.45333333333332,117.82,119.92545454545456,113.68666666666668,,46.7367201,-112.0272292
57,237167,,,12.517668328055732,12.518,12.22272727272727,13.56,,46.7046599,-112.0765438
58,254309,43.2,40.01,38.9584619796875,,,,37.366,46.6491086,-112.0461766
59,257063,,,15.011234539400666,14.576363636363636,15.424285714285714,14.2025,,46.67530481,-112.0425928
60,257065,,,82.56294131023621,,106.80333333333331,65.57,,46.7236443,-111.9936754
61,706014,27.218666666666664,27.124,27.21846153846154,26.617500000000003,27.599,26.15833333333333,26.451818181818183,46.6485809,-112.1039605
62,706017,,16.41,17.598401640798226,,,,15.921666666666669,46.6594,-112.0933
63,706032,48.63133333333334,51.2,51.16916666666666,45.705000000000005,45.647,41.55166666666667,44.67272727272727,46.6322,-112.1333
64,706042,78.43599999999999,78.20222222222222,77.39333333333333,50.406666666666666,60.176,26.46,72.76727272727273,46.58993408,-112.17584
65,706051,,35.52909090909091,36.73583333333333,37.251666666666665,41.95111111111111,34.550000000000004,31.945,46.72898,-112.10659
66,892195,13.575,11.74,9.5475,9.27100758064516,10.1475,10.554285714285712,9.535813953488372,46.645865,-112.0159111
