,gwicid,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023,prior to 2000,latitude,longitude
35,191527,4.443333333333333,4.066666666666666,4.441666666666666,4.799166666666666,4.427,4.9025,,46.66051312,-111.9727435
36,191530,20.63,17.87,20.43916666666667,20.34,19.83083333333333,20.35,,46.65160711,-111.8744199
37,191531,39.77333333333333,37.71625,37.43083333333333,36.2525,35.697,34.84,,46.5903807,-111.9946536
38,191532,59.35333333333333,63.456451697732994,66.6678663751155,67.31517125012557,69.87162412312168,67.54600160456273,,46.72833385,-112.0363594
39,191533,23.85,22.087777777777777,22.403076923076924,22.104166666666668,21.255454545454544,21.665,,46.6016554,-111.9806696
40,191534,76.75,75.02644376391981,75.01,71.79,73.795,72.104,,46.70537491,-112.0414602
41,191535,35.07666666666666,33.66111111111111,33.25846153846154,32.97416666666667,32.61272727272728,32.9,,46.6016175,-111.9806607
42,191536,44.385000000000005,40.822500000000005,43.15583333333333,43.12083333333334,44.986666666666665,46.065,,46.62688322,-111.9141275
43,191538,27.55,25.613,26.54615384615385,25.361666666666668,25.88181818181818,27.0675,,46.61570068,-111.9818949
44,191539,9.875,10.265,10.531666666666666,10.884166666666664,10.4375,10.987,,46.62392816,-112.048919
45,191540,35.95333333333333,34.88333333333333,34.9325,34.306666666666665,33.97,33.8125,,46.59038052,-111.9946112
46,191548,111.45666666666666,113.78888888888888,113.285,115.21583333333332,117.17272727272729,114.72777777777776,,46.59159331,-111.8778901
47,191549,2.646666666666667,2.606666666666667,2.69,2.669166666666667,2.645,3.31,,46.66168667,-111.9469974
48,191550,16.32,14.44125,15.693333333333332,15.8275,16.317272727272726,17.486666666666668,,46.63502075,-111.9540437
49,191554,2.29,1.9025,1.8763636363636365,1.75,1.825,2.715,,46.66173517,-111.9469967
50,191555,17.453333333333333,15.583333333333334,15.194809258028169,13.258333333333333,13.177222222222222,14.23,,46.67523673,-112.0426012
51,191557,1.7,2.14,2.9600000000000004,2.526666666666667,2.751818181818182,4.720000000000001,,46.63068274,-112.0843896
52,193012,27.406666666666663,24.29,26.335384615384616,25.214166666666667,25.74090909090909,26.8975,,46.61566231,-111.9818919
53,195637,6.125,5.915555555555556,8.917272727272728,10.714166666666666,5.634166666666666,,5.72,46.71025566,-111.9784574
54,199993,,67.76,68.90454545454546,64.90545454545455,67.00090909090909,68.14,,46.713762,-112.0265034
55,205626,,110.37777847309135,,,138.88333333333333,112.7,,46.7326,-111.9745
56,206394,,115.12466666666668,116.055,120.584,120.692,115.26,,46.7367201,-112.0272292
57,237167,,,11.364377321578004,11.412727272727274,7.548181818181818,13.288571428571428,,46.7046599,-112.0765438
58,254309,32.485,27.48333333333333,32.253111154499805,,,,30.775,46.6491086,-112.0461766
59,257063,,,15.422267766554432,13.915,15.39,14.027857142857142,,46.67530481,-112.0425928
60,257065,,,83.82864052054795,,104.10333333333334,106.446,,46.7236443,-111.9936754
61,706014,28.07,27.85090909090909,27.83818181818182,29.57875,24.029090909090908,31.308333333333334,27.249285714285715,46.6485809,-112.1039605
62,706017,,,17.227255746421267,,,,15.8775,46.6594,-112.0933
63,706032,53.4,53.318333333333335,50.22090909090909,45.760000000000005,41.56125,42.771428571428565,49.208333333333336,46.6322,-112.1333
64,706042,77.49916666666667,78.32111111111111,76.33181818181818,49.99916666666667,49.354,37.544285714285714,72.50750000000001,46.58993408,-112.17584
65,706051,30.69,35.836666666666666,34.945,36.48083333333333,33.638,36.21857142857143,28.685,46.72898,-112.10659
66,892195,12.48,10.57,8.58,9.330165560371515,8.366,9.975714285714286,8.967258064516129,46.645865,-112.0159111
