,gwicid,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023,prior to 2000,latitude,longitude
0,5756,27.895,25.94,13.935,23.731928711180124,26.828055137254903,,22.02,46.643954,-112.046558
1,5846,,3.3783333333333334,3.262307692307693,3.0627272727272725,3.7971428571428567,3.09,3.54025641025641,46.7043044,-111.9956763
2,5854,5.33,,6.4891002709551655,,,,6.295384615384616,46.6924772,-111.978844
3,58906,76.72538461538463,75.19066666666666,63.45773584905661,65.691875,65.79666666666667,,,46.5495,-112.1011
4,58923,75.225,76.931,66.7375,63.77818181818182,60.49777777777778,52.78,65.42166666666667,46.54543329,-112.0746332
5,59133,38.959,35.35875,23.64818181818182,15.389166666666668,14.648571428571428,17.855,29.84,46.5438,-112.1822
6,62006,39.14,34.133,32.1525,31.901666666666667,31.656666666666663,34.81,39.726,46.60513469,-112.0159301
7,62261,40.114,40.798,40.235,35.91916666666666,39.304,37.53,39.99666666666667,46.58213419,-112.01803
8,62369,36.64833333333333,36.13,35.55884297974068,36.04916666666667,32.63,31.935,32.18530612244898,46.6524045,-112.0795444
9,62385,,,17.572609431340872,,,,15.92888888888889,46.6593527,-112.0942661
10,62523,,,11.003223702657806,,12.335,,,46.6330975,-112.0619057
11,62802,57.561,61.362,60.7125,60.25666666666667,57.73625,54.4,55.58705882352941,46.604177,-112.074286
12,62995,17.835,14.826,13.703333333333331,15.42818181818182,15.225,15.04,16.70846153846154,46.5705,-112.2427
13,64686,,61.66,64.02916666666667,64.18833333333333,66.401,62.255,,46.7404124,-112.0215656
14,64737,58.27777777777778,62.11857142857143,66.8690909090909,72.34545454545454,74.202,70.19,53.029,46.7317468,-112.0192694
15,64755,,,71.57869496574074,186.51166666666663,222.199,240.69,,46.7232986,-112.0201403
16,65271,139.66500000000002,140.72545454545454,143.06846153846155,142.8108333333333,147.294,153.0025,121.5422222222222,46.7193633,-112.0532591
17,65316,,,11.734490890230516,16.44666666666667,14.84625,13.925,,46.7045986,-112.0771691
18,65432,82.1872311827957,79.03410556415007,74.64318803304931,79.3736793449557,82.0545833218924,79.65399696739131,77.321,46.70294306,-112.0592231
19,65615,17.280833333333334,17.970434782608695,17.46525020972222,16.050833333333333,16.076666666666668,15.3075,16.781428571428574,46.662853,-112.0935292
20,66455,20.474545454545453,20.57,20.811,21.745,21.032857142857143,20.875,19.487222222222226,46.7518,-112.3001
21,132801,25.664,24.832,22.179166666666664,25.92727272727273,23.461666666666662,23.3775,23.29388888888889,46.5444,-112.0808
22,143645,,107.585,113.43,114.585,120.303,118.54,,46.7386605,-112.0307699
